service_id,date,exception_type
48686.126106,20250831,2
48686.126106,20250901,2
48686.126106,20250902,2
48686.126106,20250903,2
48686.126106,20250904,2
48686.126106,20250905,2
48686.126106,20250906,2
48686.126106,20250907,2
48686.126106,20250908,2
48686.126106,20250909,2
48686.126106,20250910,2
48686.126106,20250911,2
48686.126106,20250912,2
48686.126106,20250913,2
48686.126106,20250914,2
48686.126106,20250915,2
48686.126106,20250916,2
48686.126106,20250917,2
48686.126106,20250918,2
48686.126106,20250919,2
48686.126106,20250920,2
48686.126106,20250921,2
48686.126106,20250922,2
48686.126106,20250923,2
48686.126106,20250924,2
48686.126106,20250925,2
48686.126106,20250926,2
48686.126106,20250927,2
48686.126106,20250928,2
48686.126106,20250929,2
48686.126106,20250930,2
48686.126106,20251001,2
48686.126106,20251002,2
48686.126106,20251003,2
48686.126106,20251004,2
48686.126106,20251005,2
48686.126106,20251006,2
48686.126106,20251007,2
48686.126106,20251008,2
48686.126106,20251009,2
48686.126106,20251010,2
48686.126106,20251011,2
48686.126106,20251014,2
48686.126106,20251015,2
48686.126106,20251016,2
48686.126106,20251017,2
48686.126106,20251225,2
48686.126106,20251226,2
48686.126106,20251227,2
48686.126106,20251228,2
48686.126106,20251229,2
48686.126106,20251230,2
48686.126106,20251231,2
48686.126106,20260101,2
48686.126106,20260119,1
48686.126106,20260120,2
48686.126106,20260121,2
48686.126106,20260122,2
48686.126106,20260123,2
48686.126106,20260124,2
48686.126106,20260125,2
48686.126106,20260126,2
48686.126106,20260127,2
48686.126106,20260128,2
48686.126106,20260129,2
48686.126106,20260130,2
48686.126106,20260201,1
48686.126106,20260202,2
48686.126106,20260203,2
48686.126106,20260204,2
48686.126106,20260205,2
48686.126106,20260206,2
48152.124676,20251013,2
48152.124676,20251127,2
48152.124676,20251128,2
48152.124676,20251225,2
48152.124676,20251226,2
48152.124676,20251229,2
48152.124676,20251230,2
48152.124676,20251231,2
48152.124676,20260101,2
48152.124676,20260102,2
48152.124676,20260119,2
48152.124676,20260126,2
48688.126119,20250901,2
48688.126119,20251013,2
48688.126119,20251127,2
48688.126119,20251128,2
48688.126119,20251222,2
48688.126119,20251223,2
48688.126119,20251224,2
48688.126119,20251225,2
48688.126119,20251226,2
48688.126119,20251229,2
48688.126119,20251230,2
48688.126119,20251231,2
48688.126119,20260101,2
48688.126119,20260102,2
48688.126119,20260105,2
48688.126119,20260106,2
48688.126119,20260107,2
48688.126119,20260108,2
48688.126119,20260109,2
48688.126119,20260112,2
48688.126119,20260113,2
48688.126119,20260114,2
48688.126119,20260115,2
48688.126119,20260116,2
48688.126119,20260119,2
48675.126089,20251013,2
48675.126089,20251127,2
48675.126089,20251128,2
48675.126089,20251222,2
48675.126089,20251223,2
48675.126089,20251224,2
48675.126089,20251225,2
48675.126089,20251226,2
48675.126089,20251229,2
48675.126089,20251230,2
48675.126089,20251231,2
48675.126089,20260101,2
48675.126089,20260102,2
48675.126089,20260105,2
48675.126089,20260106,2
48675.126089,20260107,2
48675.126089,20260108,2
48675.126089,20260109,2
48675.126089,20260112,2
48675.126089,20260113,2
48675.126089,20260114,2
48675.126089,20260115,2
48675.126089,20260116,2
48675.126089,20260119,2
