service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
48686.126106,1,1,1,1,1,1,1,20250824,20260208
48152.124657,1,1,1,1,1,0,0,20260127,20260213
48152.124676,1,1,1,1,1,0,0,20250902,20260523
48152.126140,0,0,0,0,0,1,1,20250824,20261224
48688.126119,1,1,1,1,1,0,0,20250824,20260523
48167.124675,0,0,0,0,0,0,0,20250101,20271231
48675.126089,1,1,1,1,1,0,0,20250902,20260523
48675.126163,0,0,0,0,0,1,0,20260103,20261231
